row,column,value
row.605,col.6254,0.632719608177004
row.3316,col.5823,-0.612378800718372
row.3128,col.6283,0.7281367339916
row.3236,col.8776,-0.201614345604971
row.7892,col.891,-1.97503220744515
row.504,col.2829,-1.62379520670142
row.9897,col.2337,-1.34588979561859
row.7285,col.453,1.39168714953206
row.935,col.1573,0.307446493574820
row.8556,col.5155,0.279736197010099
row.7332,col.6677,0.507060266566544
row.6923,col.9413,0.528322476242423
row.72,col.7752,-1.73361551433664
row.8071,col.9385,-0.936792829283975
row.3354,col.8581,-0.451103691851124
row.5924,col.4033,-0.199791912421755
row.2979,col.4787,-0.110839330581872
row.6146,col.9243,-0.893526658624591
row.6779,col.9270,0.399714724493762
row.8763,col.9709,-1.50473664529207
row.3342,col.6365,-1.20870558735929
row.5892,col.6522,1.02551421161420
row.4252,col.7013,0.728494464672043
row.5802,col.4885,0.83742594002585
row.5103,col.9095,-0.940454376931504
row.1278,col.2588,0.729833420925087
row.5884,col.4060,0.454924956636516
row.5669,col.6017,-0.880870337837505
row.7193,col.5588,-0.197311097836666
row.2021,col.3820,0.207375454459633
row.6115,col.1090,-0.849727452399152
row.8982,col.9764,-1.94146413865379
row.911,col.9140,-0.131765790867049
row.8429,col.6111,-0.329691242085726
row.6902,col.5482,0.642334965612826
row.616,col.9536,0.0367940677011594
row.4300,col.1368,-0.475171773554116
row.6353,col.1008,0.97441169126428
row.5318,col.5514,-0.369551892183133
row.3660,col.3938,-0.429750864922487
row.7008,col.6884,-0.626424296655668
row.2515,col.7741,-0.250944804012277
row.4596,col.3876,1.07783515763577
row.337,col.9728,-1.05365472606983
row.4795,col.7924,0.68293010200577
row.2450,col.6717,-0.795031429312451
row.564,col.7647,1.41818914627110
row.992,col.7943,0.066351171126167
row.2520,col.4588,-0.377827846733906
row.3672,col.4327,-0.200420905548465
row.8881,col.7113,0.178727177056649
row.2142,col.9304,-1.83425950704969
row.7940,col.4752,0.55163999305456
row.2133,col.6775,-0.527020107995337
row.3931,col.45,1.49230987796168
row.3292,col.8630,0.436114381524314
row.4035,col.4994,-1.57438526653792
row.6951,col.3144,1.13349469286691
row.6896,col.6359,-2.26419236125677
row.2932,col.735,0.179025937290202
row.2628,col.2603,0.797698863910903
row.7103,col.7686,0.700038213365433
row.1588,col.5049,-0.112289508688455
row.4643,col.9854,0.263060242828574
row.1285,col.9017,0.528294077356105
row.6451,col.6817,-0.879829729233873
row.1773,col.2453,-0.78177807298254
row.4426,col.7513,-0.485439388940327
row.9413,col.4555,-0.47455362924897
row.4590,col.3553,0.148857812060044
row.5804,col.8207,-0.431342294255615
row.5961,col.31,1.03731993843936
row.2081,col.4029,0.400860686999571
row.412,col.3067,0.00265420675340669
row.3788,col.9806,-0.652770745830799
row.2056,col.6733,1.14310345258216
row.5021,col.9672,1.78779657883679
row.4450,col.1017,-0.0671175123863386
row.4576,col.2155,-0.0640139526000855
row.8183,col.7925,0.336904475068582
row.9835,col.3295,2.36946203323092
row.8494,col.4107,-1.28787090342379
row.6470,col.5513,-2.33630944338382
row.1323,col.1232,1.54408693993536
row.3269,col.9628,0.331257382219687
row.6198,col.3997,0.907481998276015
row.7254,col.8931,0.416560258330499
row.8366,col.3976,0.246928654056302
row.8231,col.9557,1.02396366196928
row.7351,col.3584,-2.15065735096453
row.5604,col.1212,-0.501861897229461
row.1646,col.491,2.08467767886498
row.1036,col.7666,0.135945507447708
row.6777,col.1273,1.40721875214303
row.9820,col.8295,-0.567881735565791
row.7995,col.2692,-0.34298445394032
row.2874,col.6372,0.831991414272943
row.7601,col.5648,-1.11820372512378
row.7451,col.5523,1.29009769197200
row.8751,col.8447,0.056276174891354
row.2225,col.5037,-0.139709780139513
row.4396,col.3956,-1.20500975845208
row.6651,col.5881,1.10528056139819
row.7259,col.7421,-0.890043795779376
row.7224,col.7010,-0.452121522227911
row.9280,col.429,0.211535418061765
row.6665,col.9539,-0.351645585073056
row.6404,col.3038,-0.708003789098287
row.9855,col.5079,-0.144759686508341
row.5446,col.7055,-1.03261372764352
row.6276,col.2269,-0.999844971039496
